school,year_of_pub,acceptance_rate,top10pct,alumni_giving_rate,top25pct,usnews_score,usnews_academic_rep_old,sat_act_25_75,avg_sat_act,usnews_academic_rep_new
Catholic University of America(DC),2006,,,,,40,,,,2.8
University at Buffalo--SUNY,2006,,,,,40,,,,3.1
University of Oregon,2006,,,,,40,,,,3.3
University of Utah,2006,,,,,40,,,,3.2
Colorado State University,2006,,,,,39,,,,3
Kansas State University,2006,,,,,39,,,,2.9
New Jersey Inst. of Technology,2006,,,,,39,,,,2.7
SUNY-Buffalo,2007,55,24,9,,,,,,3.1
Washington State U.,2007,77,38,17,,,,,,3
U. of Kentucky,2007,81,23,18,,,,,,3
Arizona State U.,2007,92,28,11,,,,,,3.3
Colorado State U.,2007,86,19,9,,,,,,2.9
Kansas State U.,2007,83,23,21,,,,,,2.9
U. of Arkansas,2007,68,32,20,,,,,,2.8
Ball State U.,2007,79,15,14,,,,,,2.6
Bowling Green State U.,2007,90,14,12,,,,,,2.7
Florida Inst. Of Tech,2007,61,34,16,,,,,,2.2
Kent State U.,2007,84,12,6,,,,,,2.6
Louisiana State U.-Baton Rouge,2007,74,28,11,,,,,,2.9
Missisippi State U.,2007,70,27,12,,,,,,2.4
Oklahom aState U.,2007,87,27,17,,,,,,2.7
Oregon State U.,2007,92,19,17,,,,,,2.9
Rutgers-Newark,2007,46,30,11,,,,,,2.8
South Carolina State U.,2007,79,5,9,,,,,,2.2
Temple U.,2007,60,18,11,,,,,,2.9
Texas Tech U.,2007,70,22,18,,,,,,2.7
U. of Alabama-Birmingham,2007,88,25,10,,,,,,2.8
U. of Central Florida,2007,52,35,11,,,,,,2.4
U. of Cincinnati,2007,76,21,8,,,,,,2.7
U. of Hawaii-Manoa,2007,68,29,10,,,,,,2.7
U. of Idaho,2007,80,20,15,,,,,,2.7
U. of Louisville,2007,71,22,13,,,,,,2.7
U. of Mississippi,2007,84,,15,,,,,,2.7
U. of New Mexico,2007,73,20,10,,,,,,2.8
U. of South Florida,2007,51,27,6,,,,,,2.6
U. of Utah,2007,91,28,10,,,,,,3
U. of Wyoming,2007,95,21,13,,,,,,2.6
Utah State U.,2007,97,25,11,,,,,,2.6
Western Michigan U.,2007,86,12,9,,,,,,2.5
West Virginia U.,2007,92,17,8,,,,,,2.7
Central Michigan U.,2007,78,15,11,,,,,,2.2
East Carolina U.,2007,76,11,5,,,,,,2.2
Florida Atlantic U.,2007,54,13,2,,,,,,2.2
Florida Int. U.,2007,43,,4,,,,,,2.2
Louisiana Tech U.,2007,70,18,22,,,,,,2.2
New Mexico State U.,2007,87,17,7,,,,,,2.5
Northern Illinois U.,2007,64,9,11,,,,,,2.5
San Diego State U.,2007,48,,4,,,,,,2.8
U. of Akron,2007,79,12,12,,,,,,2.2
U. of Houston,2007,75,22,5,,,,,,2.5
U. of Memphis,2007,71,16,6,,,,,,2.3
U. of North Texas,2007,66,20,4,,,,,,2.3
U. of Southern Mississippi,2007,60,11,12,,,,,,2.2
U. of Texas-El Paso,2007,99,17,7,,,,,,2.3
U. of Toledo,2007,95,15,7,,,,,,2.3
Princeton University(NJ),2007,10,94,60,,100,,,,4.9
Harvard University(MA),2007,9,95,41,,99,,,,4.9
Yale University(CT),2007,9,95,44,,98,,,,4.8
Stanford University(CA),2007,11,89,38,,95,,,,4.9
California Institute of Technology,2007,17,88,29,,94,,,,4.7
University of Pennsylvania,2007,18,94,39,,94,,,,4.5
Massachusetts Institute of Technology,2007,13,97,37,,93,,,,4.9
Duke University(NC),2007,23,89,52,,92,,,,4.4
Columbia University(NY),2007,12,93,35,,90,,,,4.6
University of Chicago,2007,38,80,33,,90,,,,4.6
Dartmouth College(NH),2007,16,90,52,,89,,,,4.3
Cornell University(NY),2007,25,84,34,,87,,,,4.6
Washington University in St. Louis,2007,21,95,37,,87,,,,4.1
Brown University(RI),2007,14,91,39,,86,,,,4.4
Johns Hopkins University(MD),2007,27,80,34,,86,,,,4.6
Northwestern University(IL),2007,30,83,29,,86,,,,4.3
Emory University(GA),2007,32,88,37,,80,,,,4
Rice University(TX),2007,24,87,36,,80,,,,4
University of Notre Dame(IN),2007,27,84,49,,79,,,,3.9
Vanderbilt University(TN),2007,34,79,27,,79,,,,4
University of California--Berkeley*,2007,24,99,14,,78,,,,4.8
Carnegie Mellon University(PA),2007,34,75,25,,77,,,,4.2
Georgetown University(DC),2007,22,84,31,,74,,,,4
University of Virginia*,2007,37,88,25,,74,,,,4.3
University of California--Los Angeles*,2007,26,97,14,,73,,,,4.2
University of Michigan--Ann Arbor*,2007,47,90,17,,73,,,,4.5
University of Southern California,2007,25,86,35,,72,,,,4
Tufts University(MA),2007,27,83,24,,70,,,,3.6
University of North Carolina--Chapel Hill*,2007,34,76,23,,70,,,,4.2
Wake Forest University(NC),2007,43,63,33,,69,,,,3.5
Brandeis University(MA),2007,36,76,34,,66,,,,3.6
Lehigh University(PA),2007,39,90,36,,66,,,,3.2
College of William and Mary(VA)*,2007,32,80,25,,65,,,,3.7
New York University,2007,36,67,10,,64,,,,3.8
Boston College,2007,29,80,24,,63,,,,3.6
Georgia Institute of Technology*,2007,69,66,31,,63,,,,4
University of Rochester(NY),2007,45,70,19,,63,,,,3.4
University of California--San Diego*,2007,49,99,9,,62,,,,3.8
University of Illinois--Urbana - Champaign*,2007,65,55,14,,62,,,,4
University of Wisconsin--Madison*,2007,58,58,14,,62,,,,4.1
Case Western Reserve University(OH),2007,67,68,16,,61,,,,3.5
University of California--Davis*,2007,68,95,12,,59,,,,3.8
University of Washington*,2007,68,84,17,,59,,,,3.9
Rensselaer Polytechnic Institute(NY),2007,67,62,19,,58,,,,3.5
University of California--Irvine*,2007,60,96,11,,58,,,,3.6
University of California--Santa Barbara*,2007,53,96,17,,58,,,,3.5
University of Texas--Austin*,2007,49,70,15,,58,,,,4.1
Pennsylvania State University--University Park*,2007,58,37,21,,57,,,,3.8
University of Florida*,2007,48,72,17,,56,,,,3.6
Syracuse University(NY),2007,51,45,20,,55,,,,3.4
Tulane University(LA),2007,38,51,26,,55,,,,3.3
University of Miami(FL),2007,40,67,18,,54,,,,3.2
Yeshiva University(NY),2007,79,40,23,,54,,,,2.8
George Washington University(DC),2007,38,65,11,,53,,,,3.4
Pepperdine University(CA),2007,28,45,16,,53,,,,3.1
University of Maryland--College Park*,2007,44,62,14,,53,,,,3.6
Boston University,2007,58,53,,,52,,,,3.4
Ohio State University--Columbus*,2007,68,43,16,,52,,,,3.7
"Rutgers, the State University of New Jersey--New Brunswick(NJ)*",2007,58,41,15,,51,,,,3.4
University of Georgia*,2007,58,48,15,,51,,,,3.5
University of Pittsburgh*,2007,56,43,16,,51,,,,3.4
Texas A&M University--College Station*,2007,77,46,18,,50,,,,3.6
Worcester Polytechnic Institute(MA),2007,67,53,19,,50,,,,2.8
Purdue University--West Lafayette(IN)*,2007,85,28,19,,49,,,,3.8
University of Connecticut*,2007,51,38,22,,49,,,,3.2
University of Iowa*,2007,83,23,14,,49,,,,3.6
Clemson University(SC)*,2007,55,47,27,,48,,,,3.1
Fordham University(NY),2007,47,41,19,,48,,,,3
Miami University--Oxford(OH)*,2007,78,38,16,,48,,,,3.3
Southern Methodist University(TX),2007,54,35,13,,48,,,,3.1
Michigan State University*,2007,73,29,15,,47,,,,3.5
University of Delaware*,2007,47,39,23,,47,,,,3.1
University of Minnesota--Twin Cities*,2007,57,39,15,,47,,,,3.7
Virginia Tech*,2007,68,38,24,,47,,,,3.4
Baylor University(TX),2007,43,40,34,,46,,,,3.2
Colorado School of Mines *11,2007,84,49,28,,46,,,,3.1
Indiana University--Bloomington*,2007,80,27,13,,46,,,,3.7
Stevens Institute of Technology(NJ),2007,54,53,27,,46,,,,2.7
Brigham Young University--Provo(UT),2007,70,49,21,,45,,,,2.9
University of California--Santa Cruz*,2007,80,96,15,,45,,,,3.2
University of Colorado--Boulder*,2007,88,23,9,,45,,,,3.5
Marquette University(WI),2007,70,35,20,,44,,,,2.9
SUNY--Binghamton*,2007,43,49,11,,44,,,,3
St. Louis University,2007,67,34,16,,44,,,,2.9
American University(DC),2007,53,48,16,,43,,,,2.9
Iowa State University*,2007,90,27,16,,43,,,,3.2
North Carolina State University--Raleigh*,2007,61,37,30,,43,,,,3.1
SUNY College of Environmental Science and Forestry*,2007,58,23,30,,43,,,,2.7
University of Denver,2007,73,35,14,,43,,,,2.7
University of Kansas*,2007,77,28,20,,43,,,,3.4
Clark University(MA),2007,60,31,25,,42,,,,2.8
University of Alabama*,2007,70,39,27,,42,,,,3
University of Missouri--Columbia*,2007,78,27,9,,42,,,,3.3
University of Nebraska--Lincoln*,2007,73,25,23,,42,,,,3.2
University of Tulsa(OK),2007,76,59,24,,42,,,,2.6
Auburn University(AL)*,2007,72,36,20,,41,,,,3.1
Howard University(DC),2007,48,24,21,,41,,,,2.9
Illinois Institute of Technology,2007,54,36,15,,41,,,,2.8
Northeastern University(MA),2007,45,38,10,,41,,,,3
SUNY--Stony Brook*,2007,47,34,10,,41,,,,3.2
University of Arizona*,2007,86,34,7,,41,,,,3.6
University of California--Riverside*,2007,83,94,7,,41,,,,3.1
University of Massachusetts--Amherst*,2007,71,23,13,,41,,,,3.3
University of Tennessee*,2007,74,41,11,,41,,,,3.1
University of Vermont*,2007,65,23,18,,41,,,,3
University of the Pacific(CA),2007,69,42,12,,41,,,,2.6
University of San Diego,2007,46,43,13,,40,,,,2.7
Drexel University(PA),2007,72,31,19,,39,,,,2.9
Texas Christian University,2007,63,32,25,,39,,,,2.7
University of New Hampshire*,2007,67,20,12,,39,,,,2.9
University of Oklahoma*,2007,91,35,21,,39,,,,3
Florida State University*,2007,59,26,22,,38,,,,3
Loyola University Chicago,2007,77,32,9,,38,,,,2.9
Ohio University*,2007,85,15,12,,38,,,,3
University of Dayton(OH),2007,79,22,24,,38,,,,2.5
University of Oregon*,2007,88,23,17,,38,,,,3.3
University of South Carolina--Columbia*,2007,63,29,23,,38,,,,2.9
Ohio U.,2008,82,15,12,,,,,,2.9
U. of Kentucky,2008,77,25,14,,,,,,3
Washington State U.,2008,76,36,18,,,,,,2.9
Arizona State U.,2008,95,27,11,,,,,,3.2
SUNY-Buffalo,2008,52,24,9,,,,,,2.9
Colorado State U.,2008,86,19,10,,,,,,2.8
U. of Arkansas,2008,62,32,19,,,,,,2.7
U. of Utah,2008,82,25,9,,,,,,2.9
Kansas State U.,2008,95,23,20,,,,,,2.8
Ball State U.,2008,72,15,13,,,,,,2.5
Bowling Green State U.,2008,88,12,11,,,,,,2.5
Florida Inst. Of Tech,2008,81,27,19,,,,,,2.1
Kent State U.,2008,80,11,6,,,,,,2.5
Mississippi State U.,2008,70,26,12,,,,,,2.3
Oklahoma State U.,2008,88,27,16,,,,,,2.6
Oregon State U.,2008,86,19,15,,,,,,2.9
Rutgers-Newark,2008,49,24,11,,,,,,2.7
Temple U.,2008,63,19,10,,,,,,2.8
Texas Tech U.,2008,77,18,17,,,,,,2.6
U. of Alabama-Birmingham,2008,77,30,11,,,,,,2.7
U. of Central Florida,2008,50,35,11,,,,,,2.4
U. of Cincinnati,2008,75,20,8,,,,,,2.6
U. of Hawaii-Manoa,2008,69,26,9,,,,,,2.7
U. of Idaho,2008,77,18,15,,,,,,2.5
U. of Louisville,2008,70,24,13,,,,,,2.6
U. of Mississippi,2008,83,,14,,,,,,2.6
U. of Nevada-Reno,2008,88,18,11,,,,,,2.3
U. of New Mexico,2008,71,22,10,,,,,,2.7
U. of Southern Mississippi,2008,58,18,13,,,,,,2.1
U. of South Florida,2008,50,27,11,,,,,,2.5
U. of Wyoming,2008,96,20,11,,,,,,2.5
Utah State U.,2008,98,21,10,,,,,,2.5
Western Michigan U.,2008,86,10,8,,,,,,2.3
West Virginia U.,2008,89,18,8,,,,,,2.6
Central Michigan U.,2008,73,15,10,,,,,,2.1
East Caroina U.,2008,84,13,7,,,,,,2.1
Florida Atlantic U.,2008,57,9,3,,,,,,2.1
Florida Int. U.,2008,36,,6,,,,,,2.1
Louisiana Tech U.,2008,66,19,22,,,,,,2.1
New Mexico State U.,2008,85,18,7,,,,,,2.3
San Diego State U.,2008,44,,4,,,,,,2.7
U. of Akron,2008,82,12,13,,,,,,2.1
U. of Houston,2008,77,20,5,,,,,,2.5
U. of Memphis,2008,64,18,6,,,,,,2.3
U. of North Texas,2008,65,19,5,,,,,,2.3
U. of Texas-El Paso,2008,99,18,8,,,,,,2.2
U. of Toledo,2008,93,15,7,,,,,,2.2
Harvard University (MA)  ,2008,9,95,41,,100,,,,4.9
Princeton University (NJ)  ,2008,10,96,60,,99,,,,4.8
Yale University (CT)  ,2008,10,97,43,,98,,,,4.8
Massachusetts Inst. of Technology  ,2008,12,97,37,,94,,,,4.9
Stanford University (CA)  ,2008,10,91,36,,94,,,,4.9
California Institute of Technology  ,2008,17,99,29,,93,,,,4.6
University of Pennsylvania  ,2008,16,96,38,,93,,,,4.5
Columbia University (NY)  ,2008,11,94,36,,90,,,,4.5
Duke University (NC)  ,2008,23,90,40,,90,,,,4.4
University of Chicago  ,2008,35,83,32,,90,,,,4.6
Dartmouth College (NH)  ,2008,15,91,53,,89,,,,4.3
Northwestern University (IL)  ,2008,27,85,31,,87,,,,4.3
Washington University in St. Louis  ,2008,17,95,37,,87,,,,4.1
Cornell University (NY)  ,2008,21,87,34,,86,,,,4.5
Johns Hopkins University (MD)  ,2008,24,82,33,,85,,,,4.5
Brown University (RI)  ,2008,14,92,40,,84,,,,4.3
Rice University (TX)  ,2008,25,83,34,,80,,,,4
Emory University (GA)  ,2008,27,88,36,,79,,,,3.9
University of Notre Dame (IN)  ,2008,24,86,51,,79,,,,3.9
Vanderbilt University (TN)  ,2008,33,80,25,,79,,,,4
University of California--Berkeley*  ,2008,23,99,14,,77,,,,4.7
Carnegie Mellon University (PA)  ,2008,28,73,22,,75,,,,4.1
Georgetown University (DC)  ,2008,21,90,28,,74,,,,4
University of Virginia*  ,2008,35,87,24,,74,,,,4.3
Univ. of California--Los Angeles*  ,2008,24,97,14,,73,,,,4.2
University of Michigan--Ann Arbor*  ,2008,50,92,18,,72,,,,4.4
Univ. of Southern California  ,2008,25,86,38,,71,,,,3.9
Tufts University (MA)  ,2008,27,80,23,,70,,,,3.6
Wake Forest University (NC)  ,2008,42,64,32,,70,,,,3.5
U. of North Carolina--Chapel Hill*  ,2008,35,76,23,,69,,,,4.1
Brandeis University (MA)  ,2008,34,79,33,,67,,,,3.5
College of William and Mary (VA)*  ,2008,34,79,23,,65,,,,3.7
New York University  ,2008,37,66,11,,64,,,,3.8
Boston College  ,2008,27,80,21,,63,,,,3.5
Georgia Institute of Technology*  ,2008,63,66,31,,62,,,,4
Lehigh University (PA)  ,2008,32,93,33,,62,,,,3.2
Univ. of California--San Diego*  ,2008,43,99,8,,62,,,,3.8
University of Rochester (NY)  ,2008,41,72,18,,62,,,,3.4
Univ. of Wisconsin--Madison*  ,2008,56,60,13,,62,,,,4.1
U. of Illinois--Urbana-Champaign*  ,2008,71,55,14,,61,,,,4
Case Western Reserve Univ. (OH)  ,2008,75,66,14,,59,,,,3.4
Rensselaer Polytechnic Inst. (NY)  ,2008,49,64,18,,59,,,,3.5
University of Washington*  ,2008,65,86,17,,59,,,,3.9
University of California--Davis*  ,2008,59,95,12,,58,,,,3.8
University of California--Irvine*  ,2008,56,96,13,,58,,,,3.5
Univ. of California--Santa Barbara*  ,2008,54,96,19,,58,,,,3.5
Pennsylvania State U.--University Park*  ,2008,51,45,22,,57,,,,3.7
University of Texas--Austin*  ,2008,51,69,16,,57,,,,4
University of Florida*  ,2008,42,76,17,,56,,,,3.6
Yeshiva University (NY)  ,2008,69,61,23,,55,,,,2.8
Tulane University (LA)  ,2008,44,50,23,,54,,,,3.3
University of Miami (FL)  ,2008,38,65,19,,54,,,,3.2
George Washington Univ. (DC)  ,2008,37,66,10,,53,,,,3.4
Syracuse University (NY)  ,2008,51,42,19,,53,,,,3.3
U. of Maryland--College Park*  ,2008,47,71,14,,53,,,,3.6
Ohio State Univ.--Columbus*  ,2008,59,52,16,,52,,,,3.6
Pepperdine University (CA)  ,2008,35,46,13,,52,,,,3.1
University of Georgia*  ,2008,54,53,14,,51,,,,3.4
University of Pittsburgh*  ,2008,56,48,15,,51,,,,3.4
Boston University  ,2008,59,51,,,50,,,,3.4
Clemson University (SC)*  ,2008,50,52,28,,49,,,,3.1
Fordham University (NY)  ,2008,42,43,21,,49,,,,3.1
U. of Minnesota--Twin Cities*  ,2008,57,44,15,,49,,,,3.6
"Rutgers, St. U. of N.J.--N.Brun.* ",2008,56,40,15,,48,,,,3.3
Texas A&M U.--Col. Station*  ,2008,76,45,17,,48,,,,3.5
Miami Univ.--Oxford (OH)*  ,2008,75,35,18,,47,,,,3.2
Purdue U.--W. Lafayette (IN)*  ,2008,79,31,17,,47,,,,3.7
Southern Methodist Univ. (TX)  ,2008,50,40,14,,47,,,,3
University of Connecticut*  ,2008,49,40,19,,47,,,,3.1
University of Iowa*  ,2008,83,23,14,,47,,,,3.5
Indiana Univ.--Bloomington*  ,2008,70,31,13,,46,,,,3.7
Michigan State University*  ,2008,74,29,15,,46,,,,3.4
University of Delaware*  ,2008,56,41,16,,46,,,,3
Virginia Tech*  ,2008,67,40,21,,46,,,,3.3
Worcester Poly. Inst. (MA)  ,2008,66,48,18,,46,,,,2.7
Baylor University (TX)  ,2008,44,45,26,,45,,,,3.1
Marquette University (WI)  ,2008,67,34,19,,44,,,,3
SUNY--Binghamton*  ,2008,39,49,10,,44,,,,3
Univ. of Colorado--Boulder*  ,2008,82,25,8,,44,,,,3.4
Clark University (MA)  ,2008,56,32,24,,43,,,,2.8
Colorado School of Mines*  ,2008,61,53,28,,43,,,,3
St. Louis University  ,2008,80,37,17,,43,,,,2.9
American University (DC)  ,2008,53,50,14,,42,,,,2.9
N.C. State U.--Raleigh*  ,2008,60,34,24,,42,,,,3.1
Stevens Institute of Tech. (NJ)  ,2008,51,47,22,,42,,,,2.6
SUNY Col. Envir. Sci. & For.*  ,2008,51,24,29,,42,,,,2.5
University of Alabama*  ,2008,64,38,30,,42,,,,2.9
University of Tulsa (OK)  ,2008,51,64,24,,42,,,,2.5
Drexel University (PA)  ,2008,72,31,19,,41,,,,2.8
Iowa State University*  ,2008,89,26,16,,41,,,,3.1
Univ. of California--Riverside*  ,2008,82,94,8,,41,,,,3.1
University of Denver  ,2008,74,35,12,,41,,,,2.6
University of Kansas*  ,2008,92,28,20,,41,,,,3.3
Univ. of Nebraska--Lincoln*  ,2008,62,27,24,,41,,,,3.1
University of Vermont*  ,2008,70,23,18,,41,,,,2.9
Auburn University (AL)*  ,2008,69,38,19,,40,,,,3
Northeastern University (MA)  ,2008,39,42,10,,40,,,,2.9
SUNY--Stony Brook*  ,2008,43,36,13,,40,,,,3.2
University of Arizona*  ,2008,80,34,7,,40,,,,3.5
U. of California--Santa Cruz*  ,2008,82,96,12,,40,,,,3.1
Univ. of Missouri--Columbia*  ,2008,86,26,13,,40,,,,3.2
Florida State University*  ,2008,55,33,22,,39,,,,3
Howard University (DC)  ,2008,54,23,19,,39,,,,2.8
Illinois Institute of Technology  ,2008,57,43,13,,39,,,,2.7
U. of Mass.--Amherst*  ,2008,66,22,12,,39,,,,3.2
University of San Diego  ,2008,48,38,11,,39,,,,2.7
University of the Pacific (CA)  ,2008,59,41,12,,39,,,,2.5
University of Dayton (OH)  ,2008,82,23,24,,38,,,,2.5
University of Oklahoma*  ,2008,89,33,21,,38,,,,2.9
University of Oregon*  ,2008,87,23,17,,38,,,,3.3
U. of S.C.--Columbia*  ,2008,59,29,22,,38,,,,2.9
University of Tennessee*  ,2008,71,39,12,,38,,,,3
Brigham Young U.--Provo (UT)  ,2008,74,49,15,,37,,,,2.9
Texas Christian University  ,2008,49,30,23,,37,,,,2.6
University of New Hampshire*  ,2008,59,24,11,,37,,,,2.8
Harvard University (MA)  ,2009,8,95,40,,100,,,,4.9
Princeton University (NJ)  ,2009,10,97,61,,100,,,,4.9
Yale University (CT)  ,2009,9,97,41,,98,,,,4.8
California Institute of Technology  ,2009,17,97,31,,93,,,,4.6
Massachusetts Inst. of Technology  ,2009,12,97,37,,93,,,,4.9
Stanford University (CA)  ,2009,9,92,35,,93,,,,4.9
University of Pennsylvania  ,2009,17,99,39,,93,,,,4.5
Columbia University (NY)  ,2009,10,94,36,,91,,,,4.6
University of Chicago  ,2009,28,86,33,,91,,,,4.6
Duke University (NC)  ,2009,22,90,39,,90,,,,4.4
Dartmouth College (NH)  ,2009,13,90,51,,89,,,,4.3
Northwestern University (IL)  ,2009,26,85,31,,87,,,,4.3
Washington University in St. Louis  ,2009,22,96,35,,87,,,,4.1
Johns Hopkins University (MD)  ,2009,25,84,35,,86,,,,4.5
Cornell University (NY)  ,2009,21,88,32,,85,,,,4.5
Brown University (RI)  ,2009,14,93,39,,84,,,,4.4
Emory University (GA)  ,2009,27,88,37,,80,,,,4
Rice University (TX)  ,2009,23,85,34,,80,,,,4
Vanderbilt University (TN)  ,2009,25,84,24,,80,,,,4
University of Notre Dame (IN)  ,2009,27,87,50,,78,,,,3.8
University of California--Berkeley*  ,2009,22,98,13,,76,,,,4.7
Carnegie Mellon University (PA)  ,2009,38,73,20,,75,,,,4.2
Georgetown University (DC)  ,2009,19,93,28,,74,,,,4
Univ. of California--Los Angeles*  ,2009,23,97,14,,73,,,,4.2
University of Virginia*  ,2009,37,88,23,,73,,,,4.3
Univ. of Southern California  ,2009,22,87,39,,72,,,,3.9
University of Michigan--Ann Arbor*  ,2009,42,92,17,,71,,,,4.4
Tufts University (MA)  ,2009,26,85,24,,70,,,,3.6
U. of North Carolina--Chapel Hill*  ,2009,34,79,22,,70,,,,4.1
Wake Forest University (NC)  ,2009,38,64,32,,70,,,,3.5
Brandeis University (MA)  ,2009,32,82,32,,67,,,,3.5
New York University  ,2009,32,68,11,,66,,,,3.8
College of William and Mary (VA)*  ,2009,34,79,22,,64,,,,3.8
Boston College  ,2009,26,80,23,,63,,,,3.5
Georgia Institute of Technology*  ,2009,61,64,29,,62,,,,4
Lehigh University (PA)  ,2009,28,93,32,,62,,,,3.2
Univ. of California--San Diego*  ,2009,42,100,7,,62,,,,3.8
University of Rochester (NY)  ,2009,43,75,18,,62,,,,3.4
U. of Illinois--Urbana-Champaign*  ,2009,69,55,14,,61,,,,4
Univ. of Wisconsin--Madison*  ,2009,53,58,13,,61,,,,4.1
Case Western Reserve Univ. (OH)  ,2009,73,63,19,,60,,,,3.5
Rensselaer Polytechnic Inst. (NY)  ,2009,44,64,16,,59,,,,3.5
University of California--Davis*  ,2009,53,98,11,,59,,,,3.8
Univ. of California--Santa Barbara*  ,2009,49,96,18,,59,,,,3.5
University of Washington*  ,2009,61,87,18,,59,,,,3.8
University of California--Irvine*  ,2009,49,96,12,,58,,,,3.6
Pennsylvania State U.--University Park*  ,2009,51,43,20,,57,,,,3.8
University of Florida*  ,2009,39,75,17,,57,,,,3.6
University of Texas--Austin*  ,2009,44,75,16,,57,,,,3.9
Tulane University (LA)  ,2009,27,59,19,,55,,,,3.3
University of Miami (FL)  ,2009,39,66,19,,55,,,,3.1
Yeshiva University (NY)  ,2009,67,51,22,,54,,,,2.8
George Washington Univ. (DC)  ,2009,37,67,10,,53,,,,3.4
Ohio State Univ.--Columbus*  ,2009,62,53,16,,53,,,,3.6
U. of Maryland--College Park*  ,2009,39,73,12,,53,,,,3.6
Boston University  ,2009,54,55,,,52,,,,3.4
University of Pittsburgh*  ,2009,55,48,15,,52,,,,3.4
Pepperdine University (CA)  ,2009,34,40,12,,51,,,,3.1
Syracuse University (NY)  ,2009,53,39,18,,51,,,,3.3
University of Georgia*  ,2009,56,52,14,,51,,,,3.4
Clemson University (SC)*  ,2009,54,50,28,,50,,,,3.1
Fordham University (NY)  ,2009,47,42,22,,50,,,,3.1
Purdue U.--W. Lafayette (IN)*  ,2009,72,30,16,,50,,,,3.7
Texas A&M U.--Col. Station*  ,2009,70,54,16,,50,,,,3.5
U. of Minnesota--Twin Cities*  ,2009,53,45,15,,50,,,,3.6
"Rutgers, St. U. of N.J.--N.Brun.* ",2009,56,38,15,,49,,,,3.3
University of Connecticut*  ,2009,54,39,19,,49,,,,3.2
Southern Methodist Univ. (TX)  ,2009,50,42,17,,47,,,,2.9
University of Delaware*  ,2009,56,42,10,,47,,,,3.1
Worcester Polytech. Inst. (MA)  ,2009,67,53,17,,47,,,,2.7
Brigham Young U.--Provo (UT)  ,2009,69,51,20,,46,,,,2.9
Indiana Univ.--Bloomington*  ,2009,71,31,15,,46,,,,3.6
Michigan State University*  ,2009,70,31,15,,46,,,,3.4
U. of California--Santa Cruz*  ,2009,72,96,10,,46,,,,3.1
University of Iowa*  ,2009,82,22,13,,46,,,,3.5
Virginia Tech*  ,2009,65,42,18,,46,,,,3.3
Colorado School of Mines*  ,2009,62,52,25,,45,,,,3.1
Miami Univ.--Oxford (OH)*  ,2009,80,37,18,,45,,,,3.2
Univ. of Colorado--Boulder*  ,2009,78,27,9,,45,,,,3.5
Baylor University (TX)  ,2009,51,41,18,,44,,,,3.1
Northeastern University (MA)  ,2009,35,49,10,,44,,,,2.9
SUNY--Binghamton*  ,2009,40,48,10,,44,,,,3
SUNY Col. of Envir. Sci. & For.*  ,2009,48,25,28,,44,,,,2.6
American University (DC)  ,2009,53,46,13,,43,,,,2.9
Marquette University (WI)  ,2009,65,36,18,,43,,,,2.9
Stevens Institute of Tech. (NJ)  ,2009,52,53,22,,43,,,,2.6
University of Denver  ,2009,64,43,10,,43,,,,2.7
Auburn University (AL)*  ,2009,71,39,33,,42,,,,3
Clark University (MA)  ,2009,56,39,22,,42,,,,2.7
Drexel University (PA)  ,2009,68,32,18,,42,,,,2.9
Iowa State University*  ,2009,87,27,17,,42,,,,3.2
N.C. State Univ.--Raleigh*  ,2009,59,40,16,,42,,,,3.1
St. Louis University  ,2009,72,36,16,,42,,,,2.8
University of Tulsa (OK)  ,2009,46,64,24,,42,,,,2.5
University of Vermont*  ,2009,65,29,18,,42,,,,2.9
Howard University (DC)  ,2009,49,26,13,,41,,,,2.9
SUNY--Stony Brook*  ,2009,43,38,13,,41,,,,3.2
University of Alabama*  ,2009,60,42,30,,41,,,,2.9
Univ. of California--Riverside*  ,2009,78,94,7,,41,,,,3
University of Kansas*  ,2009,92,27,20,,41,,,,3.3
Univ. of Nebraska--Lincoln*  ,2009,63,25,23,,41,,,,3.1
Florida State University*  ,2009,47,31,21,,40,,,,3
University of Arizona*  ,2009,81,32,6,,40,,,,3.5
Univ. of Missouri*  ,2009,85,25,18,,40,,,,3.2
University of Oklahoma*  ,2009,82,36,21,,40,,,,3
Illinois Institute of Tech.  ,2009,57,42,11,,39,,,,2.7
Univ. of Mass.--Amherst*  ,2009,64,25,12,,39,,,,3.2
University of Tennessee*  ,2009,65,41,12,,39,,,,3
Washington State University*  ,2009,72,44,18,,39,,,,3
Texas Christian University  ,2009,50,32,21,,38,,,,2.6
University of Dayton (OH)  ,2009,74,21,23,,38,,,,2.5
Univ. of New Hampshire*  ,2009,65,24,10,,38,,,,2.8
University of San Diego  ,2009,52,39,8,,38,,,,2.6
Univ. of S.C.--Columbia*  ,2009,58,30,20,,38,,,,2.9
