School,Year,Total Support,Alumni,Others,Foundations,Corporations and Businesses,Total No. of Alumni of Record,No. of Alumni Solicited,No. of Alumni Donors
"Georgia Institute of Technology (Atlanta, GA) ",1995,41179,12945,3134,6377,18240,71266,71266,22971
"Georgia Institute of Technology (Atlanta, GA) ",1996,45289,15027,4762,5612,18909,76399,76399,17444
"Georgia Institute of Technology (Atlanta, GA) ",1997,76886,39681,7857,8998,18740,78179,78179,18213
"Georgia Institute of Technology (Atlanta, GA) ",1998,67484,32920,2439,8877,21262,75816,75516,19120
"Indiana University (Bloomington, IN) ",1990,79118891,16686578,9246631,23112650,14563156,340140,340140,41492
"Indiana University (Bloomington, IN) ",1991,90901034,15812551,10286462,24727192,19612471,275032,257263,43925
"Indiana University (Bloomington, IN) ",1992,110037416,24618737,12405854,8148829,37653080,294748,284761,45704
"Indiana University (Bloomington, IN) ",1993,101218002,18461539,12749210,12555461,30010563,301599,291382,44044
"Indiana University (Bloomington, IN) ",1995,109655,15661,20232,15179,27649,379845,306573,46674
"Indiana University (Bloomington, IN) ",1996,131147,17753,27296,17930,42580,370887,309112,43806
"Indiana University (Bloomington, IN) ",1997,116422,19678,17616,16181,38154,383491,315464,49231
"Indiana University (Bloomington, IN) ",1998,144859,26165,26471,25508,35619,380795,342266,53318
"Iowa State University (Ames, IA) ",1990,21045960,5344379,1324753,181473,13750746,0,0,0
"Iowa State University (Ames, IA) ",1991,31016216,8045032,1777054,823681,20000689,136519,136519,29066
"Iowa State University (Ames, IA) ",1992,34427613,10991439,2561130,399090,19615532,143350,143350,30156
"Iowa State University (Ames, IA) ",1993,48321155,8529278,6346642,6147539,25710935,152116,96542,30438
"Iowa State University (Ames, IA) ",1995,40206,11329,5850,6074,16601,159545,123399,27168
"Iowa State University (Ames, IA) ",1996,45365,29471,4293,4445,6778,130000,94444,21188
"Iowa State University (Ames, IA) ",1997,35713,13581,7327,4763,8087,162606,86741,26366
"Iowa State University (Ames, IA) ",1998,57326,15946,16648,17806,6252,173920,110692,25020
"Kansas State University (Manhattan, KS) ",1990,13176706,7247001,1941104,143725,3612517,104468,104468,28305
"Kansas State University (Manhattan, KS) ",1991,17444145,9273468,1447959,330051,6053251,107679,107679,29028
"Kansas State University (Manhattan, KS) ",1992,21204200,13635565,2737217,600258,3711602,111876,111876,30398
"Kansas State University (Manhattan, KS) ",1993,19740328,9864231,2240968,676452,6595908,114952,114952,29546
"Kansas State University (Manhattan, KS) ",1995,20401,8938,4870,798,5001,118381,108951,32567
"Kansas State University (Manhattan, KS) ",1996,21678,9667,4198,1349,5845,120527,109256,31402
