Institution	  Alumni: Curr	  Alumni: Curr	  Alumni: Curr	  Alumni: Curr	  Alumni: Curr	  Alumni: Curr	  Alumni: Curr	  Alumni: Curr	  Alumni: Current	  Alumni Participation 	  Undergraduate	  Alumni Donors	  Percentage	  Alumni Giving	  # Alumni of	  # Alumni Donors 	  Alumni: Total	  Athletics/Curr	  Athletics/Curr	  Athletics/Cap	  Athletics/Cap	  Athletics/Total:	  Athletics/Total	  Corporations:	  Expenditures	  Foundations:	  Foundations:	  Foundations:	  Corporations:	  Corporations:	  Total Curr	  Total Current	  Grand Total	  Grand Total	  Parents (incl.	  Parents (incl.	  Parents (incl.
	Ops/Academic	Ops/Fac-Staff	Ops/Research 	Ops/Libraries 	Ops/Physical	Ops/Student	Ops/Athletics 	Ops/Other Purposes 	Operations		Alumni Participation 	for Current	of Alumni Solicited 	as a Percentage	Record 		"Giving ($,"	Ops: Donors	Ops: Total	Purp: Donors	Purp (PV):	Donors (#) 	(PV): Total	Total 	Per Student 	Total 	Curr Ops/Athletics 	Current Operations	Curr Ops/Athletics 	Current Operations	Ops/Athletics 	Operations 	(2004 and after) 	(2003 and earlier) 	Grandp) - Curr	Grandp) - Curr	Grandp) - Curr
	Divisions 	Comp 			Plant O&M 	Aid 			Total 			Ops. as % of		of Total Giving 			from Details) 	(#) 	Amount ($) 	(#) 	Total Amount		Amount ($) 					Total 		Total 					Ops Solicited	Ops Donors	Ops ($ Details) 
												# of Record 									($) 														(#) 	(#) 	
"Adams State College (Alamosa, CO) "	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--
"Alabama Agricultural and Mechanical University (Normal, AL) "	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--
"Alabama State University (Montgomery, AL) "	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--
"Albany State University (Albany, GA) "	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--
"Alcorn State University (Lorman, MS) "	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--
"Angelo State University (San Angelo, TX) "	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--
"Central Connecticut State University (New Britain, CT) "	"$13,630 "	$0 	$0 	$0 	$0 	"$1,600 "	"$32,605 "	"$14,909 "	"$134,904 "	6.20%	6.60%	3.80%	89.30%	22.00%	"52,499"	"3,232"	"$301,689 "	208	"$136,181 "	290	"$91,247 "	498	"$227,428 "	"$315,177 "	"$13,189 "	"$622,172 "	"$8,000 "	"$65,810 "	"$73,492 "	"$199,743 "	"$136,181 "	"$455,988 "	"$1,373,142 "	"$1,373,142 "	--	--	--
"Central Washington University (Ellensburg, WA) "	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--
"Cheyney Univ. of Pennsylvania (Cheyney, PA) "	--	--	--	--	--	--	--	--	--	6.90%	--	--	94.90%	23.80%	"7,825"	539	--	--	--	--	--	--	--	"$51,700 "	"$21,349 "	"$363,275 "	--	--	--	--	--	"$630,641 "	"$739,283 "	"$739,283 "	--	--	--
"Chicago State University (Chicago, IL) "	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--
"Citadel Military College of South Carolina (Charleston, SC) "	--	--	--	--	--	--	--	--	--	19.00%	--	--	77.10%	62.80%	"30,804"	"5,847"	--	--	--	--	--	--	--	"$1,091,231 "	"$14,073 "	"$1,186,129 "	--	--	--	--	--	"$5,901,063 "	"$8,455,768 "	"$8,508,681 "	--	--	--
"Clarion Univ. of Pennsylvania (Clarion, PA) "	"$8,902 "	$0 	$0 	"$1,893 "	$115 	"$32,945 "	"$16,889 "	"$141,071 "	"$566,130 "	10.50%	--	7.90%	62.10%	26.80%	"39,905"	"4,186"	"$795,831 "	164	"$26,070 "	0	$0 	164	"$26,070 "	"$515,193 "	"$12,301 "	"$741,508 "	$0 	"$238,308 "	"$3,965 "	"$331,460 "	"$26,070 "	"$1,480,257 "	"$2,967,590 "	"$3,015,494 "	--	--	--
"College of Charleston (Charleston, SC) "	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--
"College of New Jersey (Ewing, NJ) "	--	--	--	--	--	--	--	--	--	8.80%	--	--	100.00%	25.50%	"60,000"	"5,257"	--	--	--	--	--	--	--	"$452,764 "	"$17,208 "	"$258,559 "	--	--	--	--	--	"$1,350,445 "	"$1,436,531 "	"$1,436,531 "	--	--	--
"Columbus State University (Columbus, GA) "	--	--	--	--	--	--	--	--	"$231,066 "	7.30%	7.00%	7.20%	100.00%	7.10%	"24,363"	"1,784"	"$1,669,884 "	342	"$147,112 "	2	"$118,200 "	344	"$265,312 "	"$1,382,527 "	"$11,061 "	"$11,685,321 "	--	"$370,014 "	--	"$332,677 "	--	"$1,504,580 "	"$23,650,197 "	"$24,490,861 "	--	--	--
Coppin State University (Baltimore) 	--	--	--	--	--	--	--	--	--	6.80%	--	--	100.00%	1.30%	"7,500"	512	--	--	--	--	--	--	--	"$726,637 "	"$12,485 "	"$265,632 "	--	--	--	--	--	"$1,667,595 "	"$1,725,395 "	"$1,725,395 "	--	--	--
