unitid,ftstu,apfee,applfeeu,applfeeg,applfeep,chgper1,chgper2,chgper3,chgper4,chgper5,tuition1,tuition2,tuition3,tuition4,tpugcred,tpugcont,tuition5,tuition6,tuition7,tuition8,tpgdcred,isprof1,osprof1,isprof2,osprof2,isprof3,osprof3,isprof4,osprof4,isprof5,osprof5,isprof6,osprof6,isprof7,osprof7,isprof8,osprof8,isprof9,osprof9,isprof10,osprof10,isprof11,osprof11,profna,tpfpcred,room,roomcap,board,mealswk,mealsvry,roomamt,boardamt,roombord,rmbrdamt,prgmoffr,pg300,cipcode1,ciptuit1,cipsupp1,ciplgth1,cipenrl1,cipcomp1,cipcode2,ciptuit2,cipsupp2,ciplgth2,cipenrl2,cipcomp2,cipcode3,ciptuit3,cipsupp3,ciplgth3,cipenrl3,cipcomp3,cipcode4,ciptuit4,cipsupp4,ciplgth4,cipenrl4,cipcomp4,cipcode5,ciptuit5,cipsupp5,ciplgth5,cipenrl5,cipcomp5,cipcode6,ciptuit6,cipsupp6,ciplgth6,cipenrl6,cipcomp6
"101736","1","2","","","","1","","","","","1437","1437","2637","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1","76","2","","","1260","","","","","",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"101879","1","1","25","25","","","1","","","","2166","2166","4332","","","","2352","2352","4704","","","","","","","","","","","","","","","","","","","","","","","","","","","1","1020","1","","1","1520","1740","","","","",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"101897","1","2","","","","1","","","","","1125","1125","2025","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2","","2","","","","","","","","",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"101912","1","1","15","","","","1","","","","7978","7978","7978","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1","1007","1","19","","1848","2652","","","","",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"101949","1","2","","","","1","","","","","1389","1389","2541","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2","","2","","","","","","","","",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"101958","1","1","50","","","","1","","","","5360","5360","5360","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2","","2","","","","","","","","",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"101985","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"101994","1","2","","","","1","","","","","1260","1260","2385","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2","","2","","","","","","","","",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"102030","1","2","","","","1","","","","","1350","1350","2475","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2","","2","","","","","","","","",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"102049","1","1","25","25","25","","1","","","","9432","9432","9432","","","","5904","5904","5904","","","","","","","","","","","","","12720","12720","","","","","17700","17700","6948","6948","","","","","1","1936","1","19","","2248","2148","","","","",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"102058","1","1","10","","","1","","","","","2130","2130","2130","","12","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1","450","1","20","","1500","2200","","","","",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"102067","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"102076","1","2","","","","1","","","","","1197","1197","2253","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1","74","1","15","","600","1043","","","","",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"102094","1","1","25","25","25","1","","","","","2673","2673","5148","","","","2754","2754","5310","","","","","","","7653","15033","","","","","","","","","","","","","","","","","","","1","2000","1","14","","1660","2100","","","","",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
