unitid,peo1istr,peo2istr,peo3istr,peo4istr,peo5istr,peo6istr,cntlaffi,pubprime,pubsecon,relaffil,level1,level2,level3,level4,level5,level6,level7,level8,level9,level10,level11,level12,fopna,fopna1,fopna2,accrd1,accrd2,regaccrd,accrd3,accrd4,saccr,openadmp,admcon1,admcon2,admcon3,admcon4,admcon5,admcon6,admcon7,admcon8,yrscoll,stusrv1,stusrv2,stusrv3,stusrv4,stusrv8,stusrv9,libfac,rotc,rotc1,rotc2,rotc3,athassoc,assoc1,assoc2,assoc3,assoc4,assoc5,assoc6,sport1,confno1,sport2,confno2,sport3,confno3,sport4,confno4,insttoyr,pctpost,calsys,apfee,"xappfeeu",applfeeu,"xappfeeg",applfeeg,"xappfeep",applfeep,ftstu,ft_ug,ft_ftug,ft_gd,ft_fp,tuitvary,room,"xroomcap",roomcap,board,"xmealswk",mealswk,"xroomamt",roomamt,"xbordamt",boardamt,"xrmbdamt",rmbrdamt
"139205","0","1","0","0","1","0","4","-2","-2","54","0","0","1","0","1","0","0","0","0","0","0","0","2","-2","-2","1","1","8","0","0","1","2","1","3","1","3","3","3","1","1","-2","1","1","1","1","0","0","1","2","-2","-2","-2","1","0","1","0","0","0","0","2","-2","1","334","1","334","2","-2","-3","-3","1","1",10,"25",31,"",31,"","1","1","1","2","2","2","1",10,"486","1",10,"19",10,"1700",10,"1700",30,""
"139931","0","1","0","0","0","0","1","2","0","-2","0","0","0","0","1","1","1","1","1","0","0","1","2","-2","-2","0","1","8","0","0","1","2","1","3","1","1","3","3","1","1","-2","1","1","1","0","0","0","1","1","1","0","0","1","1","0","0","0","0","0","1","131","1","131","1","131","1","131","-3","-3","1","1",10,"20",30,"",30,"","1","1","1","1","2","1","1",10,"2750","1",10,"21",10,"2204",10,"1950",30,""
"140641","1","0","0","0","0","0","2","-2","-2","-2","1","0","0","0","0","0","0","0","0","0","0","0","1","1","-3","1","0","-2","0","0","1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-3","0","1","1","1","0","0","1","-3","-3","-3","-3","-3","-3","-3","-3","-3","-3","-3","-3","-3","-3","-3","-3","-3","-3","-3","-3","-3","-1","-1",31,"",31,"",31,"","-1","-1","-1","-1","-1","-1","-1",31,"","-1",31,"",31,"",31,"",30,""
"141486","0","1","0","0","0","0","4","-2","-2","30","0","0","1","0","1","1","1","0","0","0","0","0","2","-2","-2","0","1","11","0","0","2","2","1","2","1","2","2","3","1","1","-2","1","1","1","1","0","0","1","1","1","0","1","1","1","0","0","0","0","0","2","-2","1","156","2","-2","1","156","-3","-3","1","1",10,"50",10,"50",31,"","1","1","1","1","2","2","1",10,"270","1",10,"19",10,"3170",10,"3500",30,""
"142276","1","1","1","0","1","0","1","2","0","-2","1","1","1","1","1","1","1","1","1","1","1","0","2","-2","-2","1","1","7","1","0","1","1","-2","-2","-2","-2","-2","-2","-2","-2","-2","1","1","1","1","1","0","1","1","1","0","0","1","1","0","0","0","0","0","1","105","1","105","2","-2","1","105","-3","-3","1","1",10,"30",10,"35",10,"50","1","1","1","1","1","1","1",10,"680","2",31,"",10,"1720",10,"2200",30,""
"143224","0","1","0","0","0","0","1","2","0","-2","1","1","0","0","0","0","0","0","0","0","0","0","2","-2","-2","1","0","-2","1","0","1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-3","0","1","0","1","0","0","1","2","-2","-2","-2","2","-2","-2","-2","-2","-2","-2","-2","-2","-2","-2","-2","-2","-2","-2","-3","-3","-1","-1",31,"",31,"",31,"","-1","-1","-1","-1","-1","-1","-1",31,"","-1",31,"",31,"",31,"",30,""
"144157","1","1","0","1","1","1","1","2","0","-2","1","1","1","0","0","0","0","0","0","0","0","0","1","1","-3","1","1","5","1","0","1","1","-2","-2","-2","-2","-2","-2","-2","-2","-2","1","1","1","1","1","0","1","2","-2","-2","-2","1","0","0","1","0","0","0","-2","-2","-2","-2","-2","-2","-2","-2","-3","-3","1","2",31,"",31,"",31,"","1","1","1","2","2","1","2",31,"","3",31,"",30,"",30,"",31,""
"145099","1","0","0","0","0","0","2","-2","-2","-2","1","1","0","0","0","0","0","0","0","0","0","0","2","-2","-2","1","0","-2","1","0","1","2","3","3","1","3","3","3","1","3","-3","0","1","1","1","0","0","3","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-3","-3","2","2",31,"",31,"",31,"","1","1","1","2","2","2","2",31,"","3",31,"",11,"",11,"",11,""
"146010","1","1","0","0","0","0","2","-2","-2","-2","1","0","1","0","1","0","0","0","0","0","0","0","2","-2","-2","1","0","-2","1","0","1","1","-2","-2","-2","-2","-2","-2","-2","-2","-2","1","1","1","1","0","0","1","2","-2","-2","-2","2","-2","-2","-2","-2","-2","-2","-2","-2","-2","-2","-2","-2","-2","-2","-3","-3","2","1",10,"50",31,"",31,"","1","1","1","2","2","2","2",31,"","3",31,"",30,"",30,"",31,""
"146807","1","0","0","0","0","0","2","-2","-2","-2","1","1","0","0","0","0","0","0","0","0","0","0","2","-2","-2","1","0","-2","1","0","1","2","-1","-1","2","-1","-1","-1","1","-1","-3","1","1","1","1","0","0","1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-3","-3","6","1",10,"100",31,"",31,"","1","1","1","2","2","2","2",31,"","3",31,"",30,"",30,"",31,""
